Simulations,Price,StandardError,CILower,CIUpper
1000,7.91508,0.337102,7.25436,8.5758
5000,7.67149,0.144109,7.38903,7.95394
10000,8.01411,0.104037,7.81019,8.21802
50000,7.90794,0.0462835,7.81722,7.99865
100000,7.89233,0.032634,7.82837,7.9563
200000,7.8982,0.0231699,7.85279,7.94362
500000,7.86629,0.0146134,7.83765,7.89494
1000000,7.90938,0.0103801,7.88903,7.92972
2000000,7.8962,0.00732686,7.88184,7.91056
5000000,7.89853,0.00462995,7.88945,7.9076
